,player_rank,win_ratio,price_ratio,score_ratio,multiplayer,action_genre,strategy_genre,adventure_genre,rpg_genre,fps_genre,sports_genre,racing_genre,puzzle_genre,game_title
0,100.0,0.7212508428572607,0.8797927473596606,0.7379733927937235,0,0,0,0,0,0,0,0,0,Game A
1,100.0,0.7314753754797789,0.5181346889312467,0.6069600636020485,0,0,0,1,1,0,1,0,0,Game B
2,1.0,0.15899818755823383,0.10880828902789338,0.0,0,1,0,1,0,0,1,0,1,Game C
3,1.0,0.3834321463519796,0.5181346889312467,0.0,0,1,0,1,0,0,1,0,1,Game D
4,100.0,0.48426579246060447,0.5181346889312467,0.9160696400423672,0,1,0,1,0,0,1,1,1,Game E
5,100.0,0.45196773386821787,0.7834197017262207,0.46468782936924935,0,0,0,1,0,1,1,0,0,
6,100.0,0.5583418559234575,0.7834197017262207,0.6069600636020485,0,0,0,1,1,1,0,0,0,
7,1.0,0.015752552091684736,0.5181346889312467,0.3091095150278304,1,1,0,1,0,1,1,0,1,
8,1.0,0.25213630613026017,0.3253885873016727,0.9160696400423672,1,1,0,1,0,0,1,0,1,
9,1.0,0.19555114559177822,0.3253885873016727,0.6069600636020485,0,1,0,1,0,0,0,1,1,
10,1.0,0.2677526468840203,0.5181346889312467,0.6069600636020485,0,0,0,1,1,0,1,0,0,
11,1.0,0.21984770733349115,0.5181346889312467,0.7379733927937235,1,1,0,1,0,0,1,1,1,
12,1.0,0.033686704754546756,0.3253885873016727,0.035823951603356226,1,1,0,1,0,0,1,1,1,
13,1.0,0.3211590083276816,0.5181346889312467,0.7379733927937235,1,1,0,1,0,0,1,1,1,
14,1.0,0.2756172196724419,0.023834198716744057,0.7379733927937235,0,1,1,1,0,0,1,1,1,
15,1.0,0.33439054108556887,0.023834198716744057,0.11873081102826635,1,1,0,1,0,0,1,1,1,
16,1.0,0.2711618665142171,0.3253885873016727,0.7379733927937235,0,1,1,1,0,0,1,1,1,
17,1.0,0.3942338560934099,0.4580310936991596,0.9160696400423672,1,1,1,1,0,0,1,1,1,
18,100.0,0.5616656296257733,0.4704663163682247,0.46468782936924935,1,1,0,1,0,0,1,1,1,
19,1.0,0.18974044993541664,0.4704663163682247,0.46468782936924935,1,1,0,1,0,0,1,0,1,
20,100.0,0.46921702324561737,0.4704663163682247,0.46468782936924935,1,1,0,1,0,0,1,1,1,
21,1.0,0.319647643994976,0.4704663163682247,0.46468782936924935,1,1,0,1,0,0,1,1,1,
22,100.0,0.5334111963063256,0.084974094456227,0.11873081102826635,1,1,0,1,0,0,1,0,0,
23,100.0,0.6453255513339777,0.9398963425917478,0.4288638880013078,0,0,0,0,0,0,1,0,0,
24,100.0,0.5514730400117445,0.9398963425917478,0.4288638880013078,0,0,0,1,0,0,1,0,0,
25,100.0,0.5959473782022563,0.9398963425917478,0.4288638880013078,0,0,0,1,0,0,1,0,0,
26,1.0,0.09204021534058447,0.5181346889312467,0.08393040294637467,1,1,1,1,0,0,1,1,1,
27,100.0,0.5632775204851955,0.5181346889312467,0.1903787142349788,1,1,0,1,0,0,1,0,0,
28,100.0,0.8799433688687425,0.5181346889312467,0.3091095150278304,0,0,0,0,0,0,1,0,0,
29,1.0,0.3068637183129447,0.10880828902789338,0.21392016814575573,0,1,0,1,0,0,1,1,1,
30,1.0,0.27044186915907226,0.09637305599613413,0.035823951603356226,0,1,1,1,0,0,1,1,1,
31,100.0,0.49349762968136573,0.2777202147386506,0.2620266072062765,0,1,0,1,0,0,1,1,1,
32,100.0,0.7940349800888311,0.6632124490858814,0.8331627499112129,1,1,0,1,0,1,1,0,0,
33,100.0,0.7148178578717219,0.6632124490858814,0.8331627499112129,1,1,0,1,0,0,1,0,0,
34,1.0,0.38821405683837207,0.3253885873016727,0.8812691889717337,1,1,0,1,0,0,1,1,1,
35,100.0,0.528367343431352,0.5181346889312467,0.29785055880963274,1,1,0,1,0,0,0,0,0,
36,100.0,0.820511166211541,0.6632124490858814,0.6069600636020485,0,0,0,1,1,0,0,0,0,
37,100.0,0.6212908671877253,0.44559586066740037,0.7379733927937235,0,0,0,1,1,0,0,0,0,
38,100.0,0.6788375090420825,0.8797927473596606,0.9764585358538084,0,0,0,1,0,0,0,0,0,
39,1.0,0.41118383364988287,0.8797927473596606,0.3091095150278304,0,0,0,1,0,0,1,0,0,
40,100.0,0.5196588078496671,0.9398963425917478,0.3091095150278304,0,0,0,1,0,1,1,0,0,
41,100.0,0.5330644235245096,0.3253885873016727,0.8567042038219899,1,1,1,1,0,0,1,1,1,
42,100.0,0.7822198087504697,0.7834197017262207,0.6069600636020485,0,0,0,1,0,1,1,0,0,
43,100.0,0.7131347755709655,0.7834197017262207,0.3091095150278304,0,0,0,0,0,0,1,0,0,
44,1.0,0.0,1.0,0.1903787142349788,1,1,0,1,0,0,1,1,1,
45,1.0,0.2753943961304642,0.3253885873016727,0.21392016814575573,1,1,0,1,0,0,1,1,1,
46,1.0,0.3863493270238224,0.7834197017262207,0.46468782936924935,0,0,0,1,1,1,1,0,1,
47,100.0,0.7619419431285187,0.6632124490858814,0.5957011278546802,1,1,0,1,0,1,1,0,0,
48,1.0,0.24746104512048758,0.012435233031759243,0.08393040294637467,1,1,0,1,0,0,1,0,1,
49,1.0,0.3048543864513438,0.8559585507154555,0.6069600636020485,1,1,1,1,0,0,1,1,1,
50,1.0,0.2414059012181253,0.10880828902789338,0.5834186096912715,1,1,0,1,0,0,1,1,1,
51,100.0,0.9625166451502213,0.2777202147386506,0.0235414559578599,0,1,0,1,0,1,1,0,0,
52,100.0,1.0,0.6632124490858814,0.7256909360428032,0,1,0,1,0,1,1,0,0,
53,100.0,0.8259446201210922,0.6632124490858814,0.4042988721453198,1,1,0,1,0,1,1,0,0,
54,100.0,0.8170827192227857,0.6632124490858814,1.0,0,1,0,1,0,1,1,0,0,
55,1.0,0.2080736310319136,0.9886009949367772,0.7379733927937235,0,1,1,1,0,0,1,1,1,
56,100.0,0.7009148902026305,0.8797927473596606,0.8689867219853986,1,1,0,1,0,0,0,0,0,
57,1.0,0.1175727868504435,0.06010362424763085,0.7379733927937235,1,1,1,1,0,0,1,0,1,
58,1.0,0.3305065174671158,0.2777202147386506,0.8812691889717337,1,1,1,1,0,0,1,1,1,
59,1.0,0.19886076199722788,0.07253885935192893,0.21392016814575573,1,1,0,1,0,0,1,0,0,
60,100.0,0.6582948501342408,0.21658030863647348,0.9518935507040645,1,1,0,1,0,0,1,1,1,
61,100.0,0.5290091678864107,0.21658030863647348,0.9518935507040645,1,1,0,1,0,0,1,1,1,
62,1.0,0.25013136400258473,1.0,0.2620266072062765,1,1,0,1,0,0,1,0,0,
63,1.0,0.38147737029798146,0.10880828902789338,0.2620266072062765,1,1,1,1,0,0,1,1,1,
64,100.0,0.8784074803398639,0.6632124490858814,0.5475946887941595,0,0,0,1,1,1,0,0,0,
65,100.0,0.6006955638693409,0.6632124490858814,0.6069600636020485,0,0,0,0,0,1,0,0,0,
66,100.0,0.6061178895604175,0.10880828902789338,0.059365403467050236,1,1,0,1,0,0,1,1,1,
67,100.0,0.4921135676324929,0.10880828902789338,0.059365403467050236,1,1,0,1,0,0,1,1,1,
68,100.0,0.7223183581151091,0.21658030863647348,0.14329579617801014,1,1,0,1,0,0,1,1,1,
69,1.0,0.1965442621488195,0.04870466063518487,0.5711361529403511,1,1,1,1,0,0,1,1,1,
70,1.0,0.17805488103667183,0.7834197017262207,0.9764585358538084,1,1,0,1,0,0,0,0,1,
71,1.0,0.15851076510972742,0.3253885873016727,0.41658139030872854,0,1,0,1,0,0,0,0,1,
72,1.0,0.07869973295029367,0.10880828902789338,0.15455476263162257,0,1,0,1,0,0,1,1,1,
73,100.0,0.5250797242903692,0.7709844479690731,0.6069600636020485,1,1,0,1,0,0,1,1,1,
74,1.0,0.4298587822596241,0.3253885873016727,0.6069600636020485,0,1,1,1,0,0,1,1,0,
75,1.0,0.33406613812866354,0.5181346889312467,0.3091095150278304,0,1,0,1,0,0,1,0,0,
76,1.0,0.3772807360705846,0.0,0.16683725008878708,1,1,0,1,0,0,1,0,0,
77,1.0,0.44072543090624405,0.3253885873016727,0.46468782936924935,0,0,0,1,0,0,1,0,0,
78,1.0,0.4005492577632161,0.25284973831243795,0.3091095150278304,1,1,0,1,0,0,1,1,1,
79,100.0,0.9588988726628738,0.9274611510107653,0.5475946887941595,0,0,0,0,0,0,0,0,0,
80,1.0,0.37289965202692565,0.10880828902789338,0.21392016814575573,0,1,0,1,0,0,1,1,1,
81,1.0,0.26834973168925763,0.10880828902789338,0.08393040294637467,0,1,1,1,0,0,1,1,1,
82,1.0,0.3552311673570832,0.31295335426991344,0.3091095150278304,1,1,0,1,0,0,1,1,1,
83,1.0,0.31520179922720926,0.265284960981503,0.17911975801678112,0,1,1,1,0,0,0,0,1,
84,1.0,0.4386295354354306,0.867357493602513,0.8812691889717337,1,1,0,0,0,0,1,0,0,
